county,precinct,candidate,first_exp,final_exp,sde
Appanoose,Pleasant/Franklin,Patrick,0,0,0.0
Appanoose,Pleasant/Franklin,Sanders,3,5,0.08
Appanoose,Pleasant/Franklin,Steyer,0,0,0.0
Appanoose,Pleasant/Franklin,Uncommitted,0,1,0.0
Appanoose,Pleasant/Franklin,Warren,3,0,0.0
Appanoose,Pleasant/Franklin,Yang,0,0,0.0
Appanoose,Taylor/Chariton,Bennet,0,0,0.0
Appanoose,Taylor/Chariton,Biden,7,10,0.24
Appanoose,Taylor/Chariton,Bloomberg,0,0,0.0
Appanoose,Taylor/Chariton,Buttigieg,10,14,0.24
Appanoose,Taylor/Chariton,Delaney,0,0,0.0
Appanoose,Taylor/Chariton,Gabbard,0,0,0.0
Appanoose,Taylor/Chariton,Klobuchar,4,0,0.0
Appanoose,Taylor/Chariton,Other,0,0,0.0
Appanoose,Taylor/Chariton,Patrick,0,0,0.0
Appanoose,Taylor/Chariton,Sanders,0,0,0.0
Appanoose,Taylor/Chariton,Steyer,5,5,0.08
Appanoose,Taylor/Chariton,Uncommitted,0,0,0.0
Appanoose,Taylor/Chariton,Warren,3,0,0.0
Appanoose,Taylor/Chariton,Yang,0,0,0.0
Appanoose,Union / Udell Township,Bennet,0,0,0.0
Appanoose,Union / Udell Township,Biden,11,14,0.16
Appanoose,Union / Udell Township,Bloomberg,0,0,0.0
Appanoose,Union / Udell Township,Buttigieg,3,6,0.08
Appanoose,Union / Udell Township,Delaney,0,0,0.0
Appanoose,Union / Udell Township,Gabbard,0,0,0.0
Appanoose,Union / Udell Township,Klobuchar,2,0,0.0
Appanoose,Union / Udell Township,Other,0,0,0.0
Appanoose,Union / Udell Township,Patrick,0,0,0.0
Appanoose,Union / Udell Township,Sanders,4,4,0.08
Appanoose,Union / Udell Township,Steyer,2,0,0.0
Appanoose,Union / Udell Township,Uncommitted,1,2,0.0
Appanoose,Union / Udell Township,Warren,2,0,0.0
Appanoose,Union / Udell Township,Yang,1,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Bennet,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Biden,8,8,0.08
Appanoose,Vermillion/Douglas/Sharon,Bloomberg,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Buttigieg,14,15,0.24
Appanoose,Vermillion/Douglas/Sharon,Delaney,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Gabbard,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Klobuchar,4,8,0.16
Appanoose,Vermillion/Douglas/Sharon,Other,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Patrick,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Sanders,2,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Steyer,1,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Uncommitted,0,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Warren,2,0,0.0
Appanoose,Vermillion/Douglas/Sharon,Yang,0,0,0.0
Appanoose,Walnut,Bennet,0,0,0.0
Appanoose,Walnut,Biden,0,0,0.0
Appanoose,Walnut,Bloomberg,0,0,0.0
Appanoose,Walnut,Buttigieg,8,8,0.16
Appanoose,Walnut,Delaney,0,0,0.0
Appanoose,Walnut,Gabbard,0,0,0.0
Appanoose,Walnut,Klobuchar,3,3,0.08
Appanoose,Walnut,Other,0,0,0.0
Appanoose,Walnut,Patrick,0,0,0.0
Appanoose,Walnut,Sanders,2,0,0.0
Appanoose,Walnut,Steyer,2,3,0.08
Appanoose,Walnut,Uncommitted,0,0,0.0
Appanoose,Walnut,Warren,0,0,0.0
Appanoose,Walnut,Yang,3,4,0.08
Appanoose,Washington/Wells,Bennet,0,0,0.0
Appanoose,Washington/Wells,Biden,6,7,0.24
Appanoose,Washington/Wells,Bloomberg,0,0,0.0
Appanoose,Washington/Wells,Buttigieg,1,0,0.0
Appanoose,Washington/Wells,Delaney,0,0,0.0
Appanoose,Washington/Wells,Gabbard,0,0,0.0
Appanoose,Washington/Wells,Klobuchar,0,0,0.0
Appanoose,Washington/Wells,Other,0,0,0.0
Appanoose,Washington/Wells,Patrick,0,0,0.0
Appanoose,Washington/Wells,Sanders,3,3,0.08
Appanoose,Washington/Wells,Steyer,0,0,0.0
Appanoose,Washington/Wells,Uncommitted,0,0,0.0
Appanoose,Washington/Wells,Warren,0,0,0.0
Appanoose,Washington/Wells,Yang,0,0,0.0
Audubon,Precinct 1,Bennet,0,0,0.0
Audubon,Precinct 1,Biden,17,23,0.3
Audubon,Precinct 1,Bloomberg,0,0,0.0
Audubon,Precinct 1,Buttigieg,23,31,0.4
Audubon,Precinct 1,Delaney,0,0,0.0
Audubon,Precinct 1,Gabbard,0,0,0.0
Audubon,Precinct 1,Klobuchar,17,18,0.3
Audubon,Precinct 1,Other,0,0,0.0
Audubon,Precinct 1,Patrick,0,0,0.0
Audubon,Precinct 1,Sanders,17,18,0.2
Audubon,Precinct 1,Steyer,8,0,0.0
Audubon,Precinct 1,Uncommitted,0,0,0.0
Audubon,Precinct 1,Warren,20,21,0.3
Audubon,Precinct 1,Yang,9,0,0.0
Audubon,Precinct 2,Bennet,0,0,0.0
Audubon,Precinct 2,Biden,28,38,0.6
Audubon,Precinct 2,Bloomberg,0,0,0.0
Audubon,Precinct 2,Buttigieg,8,0,0.0
Audubon,Precinct 2,Delaney,0,0,0.0
Audubon,Precinct 2,Gabbard,0,0,0.0
Audubon,Precinct 2,Klobuchar,25,37,0.6
Audubon,Precinct 2,Other,0,0,0.0
Audubon,Precinct 2,Patrick,0,0,0.0
Audubon,Precinct 2,Sanders,14,17,0.3
Audubon,Precinct 2,Steyer,3,0,0.0
Audubon,Precinct 2,Uncommitted,2,0,0.0
Audubon,Precinct 2,Warren,12,0,0.0
Audubon,Precinct 2,Yang,0,0,0.0
Benton,Belle Plaine 1,Bennet,0,0,0.0
Benton,Belle Plaine 1,Biden,8,8,0.15
Benton,Belle Plaine 1,Bloomberg,0,0,0.0
Benton,Belle Plaine 1,Buttigieg,5,5,0.075
Benton,Belle Plaine 1,Delaney,0,0,0.0
Benton,Belle Plaine 1,Gabbard,0,0,0.0
Benton,Belle Plaine 1,Klobuchar,0,0,0.0
Benton,Belle Plaine 1,Other,0,0,0.0
Benton,Belle Plaine 1,Patrick,0,0,0.0
Benton,Belle Plaine 1,Sanders,6,6,0.075
Benton,Belle Plaine 1,Steyer,0,0,0.0
Benton,Belle Plaine 1,Uncommitted,0,0,0.0
Benton,Belle Plaine 1,Warren,6,6,0.15
Benton,Belle Plaine 1,Yang,0,0,0.0
Benton,Belle Plaine 2,Bennet,0,0,0.0
Benton,Belle Plaine 2,Biden,7,7,0.15
Benton,Belle Plaine 2,Bloomberg,0,0,0.0
Benton,Belle Plaine 2,Buttigieg,5,5,0.075
Benton,Belle Plaine 2,Delaney,0,0,0.0
Benton,Belle Plaine 2,Gabbard,0,0,0.0
Benton,Belle Plaine 2,Klobuchar,0,0,0.0
Benton,Belle Plaine 2,Other,0,0,0.0
Benton,Belle Plaine 2,Patrick,0,0,0.0
Benton,Belle Plaine 2,Sanders,7,7,0.075
Benton,Belle Plaine 2,Steyer,0,0,0.0
Benton,Belle Plaine 2,Uncommitted,0,0,0.0
Benton,Belle Plaine 2,Warren,4,4,0.075
Benton,Belle Plaine 2,Yang,0,0,0.0
Benton,Belle Plaine 3,Bennet,0,0,0.0
Benton,Belle Plaine 3,Biden,7,9,0.15
Benton,Belle Plaine 3,Bloomberg,0,0,0.0
Benton,Belle Plaine 3,Buttigieg,6,7,0.15
Benton,Belle Plaine 3,Delaney,0,0,0.0
Benton,Belle Plaine 3,Gabbard,0,0,0.0
Benton,Belle Plaine 3,Klobuchar,0,0,0.0
